date_time,picked_timestamp_utc,EURUSD,GBPUSD,AUDUSD,NZDUSD,JPYUSD,CADUSD,CHFUSD
2001-04-24 20:00:00,2001-04-24 10:59:59+00:00,0.89425,1.43625,,,0.008181632235631,,0.5841462702260646
2001-05-01 20:00:00,2001-05-01 11:00:03+00:00,0.8908,1.43225,,,0.0081896728225707,0.6518055012384304,0.5780012716027976
2001-05-08 20:00:00,2001-05-08 10:59:57+00:00,0.8849,1.4320499999999998,,,0.0082071484262792,,0.5742176284811944
2001-05-15 20:00:00,2001-05-15 10:59:58+00:00,0.8787,1.42185,,,0.0081047128905458,0.6458696635019053,0.5734438168420448
2001-05-22 20:00:00,2001-05-22 11:00:17+00:00,0.8664000000000001,1.42835,,,0.0081509556995557,0.6481301445330223,0.566299515813914
2001-05-29 20:00:00,2001-05-29 10:59:59+00:00,0.8541,1.41825,,,0.008330209504769,,0.5600515247402761
2001-06-05 20:00:00,2001-06-05 11:00:03+00:00,0.8479,1.40965,0.5082500000000001,,0.0083177375753794,0.6519329812895234,0.5598477214197738
2001-06-12 20:00:00,2001-06-12 10:59:56+00:00,0.8489,1.37885,0.5238499999999999,,0.008201090745069,0.6563833278634723,0.5576622797233994
2001-06-19 20:00:00,2001-06-19 10:59:44+00:00,0.8573999999999999,1.40225,0.5205500000000001,,0.0081363654855376,0.6525285481239804,0.5608996830916791
2001-06-26 20:00:00,2001-06-26 10:59:58+00:00,0.8617,1.4158499999999998,0.51895,,0.0080674438304223,0.6592827004219409,0.5659790021790192
2001-07-03 20:00:00,2001-07-03 11:00:00+00:00,0.8466,1.40725,0.51515,,0.0080318059515682,0.6629101756711966,0.5562044607597753
2001-07-10 20:00:00,2001-07-10 11:00:01+00:00,0.8559,1.41135,0.51065,,0.0079709856123709,0.6577649148194435,0.5619713956559611
2001-07-17 20:00:00,2001-07-17 10:59:58+00:00,0.8516,1.40035,,,0.0079990401151861,0.6496881496881496,0.5626670417780278
2001-07-24 20:00:00,2001-07-24 11:00:03+00:00,0.8744000000000001,,0.5076499999999999,,,,0.580046403712297
2001-07-31 20:00:00,2001-07-31 10:59:58+00:00,0.8746,1.42535,0.5073000000000001,,0.0080060846243144,0.654278984559016,0.5786367318597385
2001-08-07 20:00:00,2001-08-07 11:00:02+00:00,0.8766,,0.5156000000000001,,0.0080785232459506,0.6521030322791,0.5820382981200163
2001-08-14 20:00:00,2001-08-14 11:00:01+00:00,0.8974,1.4208500000000002,0.51665,,0.0082105176731392,,0.5917334832391491
2001-08-21 20:00:00,2001-08-21 11:00:01+00:00,0.9124,1.4482499999999998,0.53145,,0.0083475938060853,,0.6014314067480604
2001-08-28 20:00:00,2001-08-28 10:59:58+00:00,0.9095,1.4482499999999998,0.5278499999999999,,0.0082846609502506,,0.599538355466291
2001-09-04 20:00:00,2001-09-04 11:00:05+00:00,0.8907,1.4461499999999998,0.52155,,0.0084086609207483,,0.5880796259813579
2001-09-11 20:00:00,2001-09-11 11:00:04+00:00,0.908,,,,0.0084281500210703,0.636213258684311,0.6040288725801094
2001-09-18 20:00:00,2001-09-18 10:59:53+00:00,0.9215,1.4617,,,0.0085102761584613,0.6365372374283896,0.6224324660774306
2001-09-25 20:00:00,2001-09-25 11:00:00+00:00,0.9237,1.46895,0.49455,,0.0085197018104366,,0.6308352258390109
2001-10-02 20:00:00,2001-10-02 10:59:51+00:00,0.9163,1.46705,,,0.0082750630973561,0.6374298827129016,0.6175698625907056
2001-10-09 20:00:00,2001-10-09 11:00:16+00:00,0.9179,,0.50215,,0.0083225833298655,0.6399590426212722,0.6195211101818294
2001-10-16 20:00:00,2001-10-16 10:59:53+00:00,0.9089,1.44755,0.51355,,0.0082484431063636,0.6402663508019335,0.613553394484155
2001-10-23 20:00:00,2001-10-23 11:00:10+00:00,0.8887,1.42135,0.50875,,0.0081277685211525,0.6366790819087639,0.6003842459173871
2001-10-30 20:00:00,2001-10-30 10:59:57+00:00,0.9088,1.45635,0.50685,,0.0082246987704075,0.6335128286347799,0.6180851721367204
2001-11-06 20:00:00,2001-11-06 10:59:50+00:00,0.8967,1.4583499999999998,,,0.0082641213173009,0.6271558482282847,0.6092545770250098
2001-11-13 20:00:00,2001-11-13 10:59:56+00:00,0.8818,1.4429500000000002,0.5195000000000001,,0.0082314689056262,0.6260368735718533,0.6003482019571351
2001-11-20 20:00:00,2001-11-20 10:59:59+00:00,0.8828,1.41745,0.51945,,0.0081536140894451,0.6282393591958536,0.6061157074885596
2001-11-27 20:00:00,2001-11-27 10:59:55+00:00,0.8814,1.41385,0.52345,,0.0080674438304223,0.6268217005672737,0.6027545884693046
2001-12-04 20:00:00,2001-12-04 11:00:04+00:00,0.8914,1.42215,,,0.0080550968625397,,0.6050887967809276
2001-12-11 20:00:00,2001-12-11 11:00:06+00:00,0.8888,1.43525,0.5144500000000001,,0.0079189103579347,0.6341958396752917,0.6015399422521656
2001-12-18 20:00:00,2001-12-18 10:59:58+00:00,0.9018,1.4570500000000002,0.5161,,0.0078201368523949,0.6353643814727746,0.6116769122549469
2002-01-08 20:00:00,2002-01-08 11:00:00+00:00,0.89115,1.44245,0.5225500000000001,,0.0075457460856442,0.6260368735718533,0.6039559112184811
2002-01-15 20:00:00,2002-01-15 11:00:01+00:00,0.8913,1.44415,0.5178499999999999,,0.007618176970251,0.6283775292195551,0.6025366794203597
2002-01-22 20:00:00,2002-01-22 11:00:10+00:00,0.8824000000000001,1.42835,0.5189,,0.007452397808995,0.6219679064560268,0.6007990627534621
2002-01-29 20:00:00,2002-01-29 11:00:03+00:00,0.8618,1.4105500000000002,0.51415,,0.0074892342258004,0.6296237997796317,0.5857716076501772
2002-02-05 20:00:00,2002-02-05 10:59:58+00:00,0.86835,1.41825,0.50935,,0.0074713287758227,0.6259193189997809,0.5898139137102244
2002-02-19 20:00:00,2002-02-19 11:00:01+00:00,0.8738,1.4289,0.51675,,0.0074847498222371,0.6294850812035755,0.5909816204716034
2002-02-26 20:00:00,2002-02-26 11:00:00+00:00,0.8687,1.4261,0.5141,,,0.6217552149718655,0.5887374525330429
2002-03-05 20:00:00,2002-03-05 11:00:00+00:00,0.86915,1.42095,0.5202,,0.0075671585319712,0.628654051675363,0.5887027933947546
2002-03-12 20:00:00,2002-03-12 10:59:59+00:00,0.87315,1.41115,0.5199,,0.0077663870767319,0.6303779115579791,0.5950078838544611
2002-03-19 20:00:00,2002-03-19 11:00:01+00:00,0.88295,1.4245,0.52415,,0.0075895567698846,0.6327311841564112,0.6024277839693967
2002-03-26 20:00:00,2002-03-26 10:59:58+00:00,0.8765499999999999,1.42705,0.5275000000000001,,0.0075312547070341,0.6281998932060182,0.5987306909352174
2002-04-02 20:00:00,2002-04-02 10:59:59+00:00,0.8786499999999999,1.4367,0.5343,,0.0075010313918163,0.6253908692933083,0.6005104338687886
