ref_period_width,trade_period_width,number_of_parameters,mean,simulation_period_to,position_id_1,position_id_2
50,50,1,0.0009905412309210678,2005,7,8
12,25,1,0.000981103794795328,2005,7,9
12,12,1,0.0011236739943255112,2005,7,12
50,50,1,0.0008459323071145135,2005,7,16
12,12,1,0.0009987284709608293,2005,7,17
50,50,1,0.0009668054999438522,2005,7,19
12,25,1,0.000981103794795328,2005,7,21
50,50,1,0.0009905412309210678,2005,7,22
12,12,1,0.0011236739943255112,2005,7,24
100,5,1,0.0010272362657148025,2005,8,9
100,5,1,0.0010272362657148025,2005,8,21
12,5,1,0.0011326455198101039,2005,9,9
100,5,1,0.0010420574818177982,2005,9,9
150,5,1,0.000993837144217341,2005,9,9
150,12,1,0.000993837144217341,2005,9,9
25,5,1,0.0013654307487202231,2005,9,10
12,5,1,0.0012385781520248625,2005,9,10
25,50,1,0.000936749656146009,2005,9,10
150,5,1,0.0011691959555985378,2005,9,11
150,12,1,0.0011484376020692117,2005,9,11
150,25,1,0.000812759322452878,2005,9,11
150,12,1,0.000993837144217341,2005,9,12
150,25,1,0.000812759322452878,2005,9,12
150,12,1,0.000993837144217341,2005,9,13
25,5,1,0.0008330173044431711,2005,9,13
150,25,1,0.000812759322452878,2005,9,13
100,5,1,0.0009551727648825648,2005,9,14
12,5,1,0.0009324459469095545,2005,9,14
25,5,1,0.0008331705601099598,2005,9,14
100,5,1,0.0010420574818177982,2005,9,15
150,5,1,0.000993837144217341,2005,9,15
150,12,1,0.000993837144217341,2005,9,15
150,25,1,0.000812759322452878,2005,9,15
150,12,1,0.000993837144217341,2005,9,16
150,5,1,0.0009625786958008087,2005,9,16
100,12,1,0.0008809520854626895,2005,9,16
150,25,1,0.000812759322452878,2005,9,16
150,25,1,0.000812759322452878,2005,9,17
12,5,1,0.001083205031654507,2005,9,18
150,5,1,0.000993837144217341,2005,9,18
150,12,1,0.000993837144217341,2005,9,18
150,25,1,0.000812759322452878,2005,9,18
12,5,1,0.0012928662121639985,2005,9,19
100,5,1,0.0011426462699077658,2005,9,19
100,12,1,0.0008269233537910228,2005,9,19
12,5,1,0.0011326455198101039,2005,9,21
100,5,1,0.0010420574818177982,2005,9,21
150,5,1,0.000993837144217341,2005,9,21
150,12,1,0.000993837144217341,2005,9,21
100,5,1,0.0010272362657148025,2005,9,22
150,12,1,0.000993837144217341,2005,9,24
150,25,1,0.000812759322452878,2005,9,24
150,5,1,0.0011691959555985378,2005,9,25
150,12,1,0.0011484376020692117,2005,9,25
150,25,1,0.000812759322452878,2005,9,25
12,12,1,0.000895039328276005,2005,10,14
25,5,1,0.0008826568172844412,2005,10,17
25,5,1,0.0013654307487202231,2005,10,21
12,5,1,0.0012385781520248625,2005,10,21
25,50,1,0.000936749656146009,2005,10,21
25,50,1,0.0009249430713241356,2005,10,23
12,12,1,0.0008723686721675215,2005,10,23
150,25,1,0.0008180207797344614,2005,11,11
150,50,1,0.0008180207797344614,2005,11,11
150,25,1,0.0008180207797344614,2005,11,15
150,50,1,0.0008180207797344614,2005,11,15
150,25,1,0.0008180207797344614,2005,11,18
150,50,1,0.0008180207797344614,2005,11,18
12,25,1,0.0008014600023424093,2005,11,19
150,5,1,0.0011691959555985378,2005,11,21
150,12,1,0.0011484376020692117,2005,11,21
150,25,1,0.000812759322452878,2005,11,21
150,25,1,0.0008180207797344614,2005,11,25
150,50,1,0.0008180207797344614,2005,11,25
150,12,1,0.000993837144217341,2005,12,21
150,25,1,0.000812759322452878,2005,12,21
150,12,1,0.000993837144217341,2005,13,21
25,5,1,0.0008330173044431711,2005,13,21
150,25,1,0.000812759322452878,2005,13,21
25,5,1,0.0008090553277393023,2005,14,14
100,25,1,0.0009654719293510461,2005,14,20
100,5,1,0.0009551727648825648,2005,14,21
12,5,1,0.0009324459469095545,2005,14,21
25,5,1,0.0008331705601099598,2005,14,21
100,5,1,0.0010420574818177982,2005,15,21
150,5,1,0.000993837144217341,2005,15,21
150,12,1,0.000993837144217341,2005,15,21
150,25,1,0.000812759322452878,2005,15,21
150,25,1,0.0008180207797344614,2005,15,25
150,50,1,0.0008180207797344614,2005,15,25
150,12,1,0.000993837144217341,2005,16,21
150,5,1,0.0009625786958008087,2005,16,21
100,12,1,0.0008809520854626895,2005,16,21
150,25,1,0.000812759322452878,2005,16,21
150,25,1,0.000812759322452878,2005,17,21
25,25,1,0.0009131331735466574,2005,18,18
12,5,1,0.001083205031654507,2005,18,21
150,5,1,0.000993837144217341,2005,18,21
150,12,1,0.000993837144217341,2005,18,21
150,25,1,0.000812759322452878,2005,18,21
150,25,1,0.0008180207797344614,2005,18,25
150,50,1,0.0008180207797344614,2005,18,25
12,5,1,0.0012928662121639985,2005,19,21
100,5,1,0.0011426462699077658,2005,19,21
100,12,1,0.0008269233537910228,2005,19,21
12,25,1,0.0008014600023424093,2005,19,25
12,5,1,0.0011326455198101039,2005,21,21
100,5,1,0.0010420574818177982,2005,21,21
150,5,1,0.000993837144217341,2005,21,21
150,12,1,0.000993837144217341,2005,21,21
100,5,1,0.0010272362657148025,2005,21,22
150,12,1,0.000993837144217341,2005,21,24
150,25,1,0.000812759322452878,2005,21,24
150,5,1,0.0011691959555985378,2005,21,25
150,12,1,0.0011484376020692117,2005,21,25
150,25,1,0.000812759322452878,2005,21,25
150,25,1,0.0008180207797344614,2005,25,25
150,50,1,0.0008180207797344614,2005,25,25
25,50,1,0.00088735833554273,2006,0,0
50,50,1,0.000851412951195639,2006,0,1
12,25,1,0.000802380091303649,2006,0,7
50,50,1,0.001166823599443021,2006,0,8
12,5,1,0.0008736756015865322,2006,0,9
50,50,1,0.000851412951195639,2006,0,19
12,5,1,0.0008736756015865322,2006,0,21
50,50,1,0.001166823599443021,2006,0,22
100,5,1,0.0011783308665669553,2006,1,9
100,5,1,0.0011783308665669553,2006,1,21
50,50,1,0.0008865309500714224,2006,3,8
50,50,1,0.0008865309500714224,2006,3,22
50,50,1,0.000905209751693074,2006,4,8
50,50,1,0.000905209751693074,2006,4,22
12,12,1,0.0009070352407707947,2006,6,10
12,25,1,0.0008077633504781278,2006,7,7
50,50,1,0.0010252197318459007,2006,7,8
12,25,1,0.0009056948410255897,2006,7,9
12,25,1,0.0009056948410255897,2006,7,21
50,50,1,0.0010252197318459007,2006,7,22
100,5,1,0.0008362648562442272,2006,8,9
50,50,1,0.0010269304211689909,2006,8,10
50,50,1,0.000905209751693074,2006,8,16
50,50,1,0.0008865309500714224,2006,8,17
100,5,1,0.0008362648562442272,2006,8,21
25,5,1,0.0011191484916355187,2006,9,10
100,5,1,0.0011783308665669553,2006,9,19
100,5,1,0.0008362648562442272,2006,9,22
12,12,1,0.0009070352407707947,2006,10,14
25,5,1,0.0011191484916355187,2006,10,21
50,50,1,0.0010269304211689909,2006,10,22
12,12,1,0.0008907026175528554,2006,10,23
50,50,1,0.000905209751693074,2006,16,22
